epoch,d_loss,g_loss
1,2.0154,1.8549
2,1.676,2.2887
3,1.4063,2.772
4,1.1779,3.3793
5,1.1114,3.485
6,1.0795,3.4898
7,1.0647,3.5516
8,0.9879,3.6589
9,0.9622,3.7489
10,0.9134,3.8524
11,0.8791,4.1183
12,0.9245,4.0993
13,0.8787,4.5841
14,0.8429,4.4171
15,0.8451,4.4717
16,0.8129,4.7761
17,0.7401,4.7781
18,0.817,4.8679
19,0.8697,5.7979
20,1.4207,6.1487
21,1.2359,6.4766
22,1.6736,6.8624
23,1.6756,6.3224
24,1.3121,5.2333
25,1.2143,4.9954
26,1.1689,4.3825
27,1.1433,5.1427
28,1.2196,4.9453
29,1.2953,4.8832
30,1.579,5.2582
31,1.0872,4.1846
32,1.2862,4.2265
33,0.9561,4.3689
34,1.0262,4.5008
35,1.335,3.8387
36,1.5767,4.211
37,1.3251,4.1706
38,1.1027,3.4696
39,1.0113,4.1048
40,1.1679,3.7017
41,1.0846,4.4977
42,1.2487,3.5215
43,0.8624,4.1595
44,0.9666,3.7689
45,1.1004,3.0149
46,1.2775,3.5811
47,0.9984,4.4422
48,0.9877,3.8514
49,1.236,4.0855
50,1.3433,3.985
51,0.8871,4.7018
52,1.1715,4.615
53,1.2396,3.4238
54,1.0226,3.6546
55,0.9936,3.4876
56,1.0874,3.3365
57,1.06,3.3838
58,1.3104,3.4151
59,1.1105,3.719
60,1.0648,3.7626
61,0.9812,3.6785
62,1.1695,3.5203
63,0.832,3.4694
64,0.9591,3.7495
65,0.9508,3.4924
66,1.1493,3.9104
67,1.1638,3.8231
68,0.8827,3.8668
69,0.8392,3.9833
70,0.8069,3.6781
71,0.8476,3.4539
72,0.8424,3.8941
73,0.753,3.5667
74,0.9231,3.5313
75,0.7886,3.914
76,0.8577,3.8177
77,0.9569,4.3172
78,0.7461,3.7453
79,0.904,4.0504
80,0.8466,3.4946
81,0.9515,4.1151
82,0.8755,4.1683
83,0.7538,4.1304
84,0.7359,4.4249
85,0.8529,4.0522
86,0.6933,3.8363
87,1.1226,3.5845
88,0.7918,3.9961
89,0.7089,3.9342
90,0.7497,4.4068
91,0.6927,4.507
92,0.6463,4.3385
93,0.701,4.1174
94,0.7681,3.8116
95,0.9589,3.9396
96,0.7898,3.5803
97,0.7757,4.0995
98,0.6705,4.0498
99,0.6372,4.1224
100,0.5958,4.3126
101,0.6245,4.1185
102,1.1001,3.857
103,1.1008,3.6348
104,0.7793,3.574
105,0.7811,3.8454
106,0.7099,3.8473
107,0.7875,3.684
108,0.7489,4.11
109,0.9757,4.0571
110,1.0673,4.1755
111,0.8126,3.6839
112,0.6468,4.3587
113,0.6727,4.1608
114,0.6903,3.5909
115,0.708,3.6475
116,1.0129,3.1506
117,0.9632,3.3294
118,0.8803,3.3842
119,0.8424,3.8718
120,0.7355,4.4581
121,0.7521,4.1314
122,1.5357,4.3189
123,1.0947,3.8443
124,0.9038,3.3513
125,0.8086,3.5325
126,0.7139,4.024
127,0.6697,4.1794
128,0.6438,3.9649
129,0.6707,3.8751
130,0.7429,3.6821
131,0.6836,4.0166
132,0.7705,4.1623
133,1.4225,3.607
134,0.8138,3.8321
135,1.1766,3.854
136,0.9136,3.2575
137,0.9695,3.3396
138,0.9178,3.7295
139,0.8278,3.5919
140,0.7541,3.9607
141,0.7767,3.9147
142,0.7394,4.1714
143,1.1908,3.4017
144,1.2386,4.0584
145,0.9765,3.7977
146,0.9028,3.4133
147,0.8595,3.4326
148,0.9508,4.0616
149,0.9739,3.8165
150,1.0106,3.6738
151,0.9736,3.7303
152,1.0696,3.68
153,0.9078,3.7258
154,0.7785,3.6098
155,0.7014,3.5389
156,0.7436,4.0245
157,0.9957,3.9779
158,1.0667,3.6282
159,0.8618,3.9244
160,0.8571,3.9406
161,0.8584,3.9795
162,0.9158,3.4842
163,0.7508,3.5661
164,0.7879,4.0984
165,1.1244,4.4357
166,1.103,3.7225
167,0.9659,3.6078
168,1.0596,3.3832
169,1.0017,3.4679
170,0.9978,3.2873
171,0.9802,3.7289
172,0.8925,3.4938
173,0.6776,3.8405
174,0.7689,4.2622
175,0.7973,4.1291
176,0.9307,4.4707
177,0.7452,4.1116
178,0.8245,3.924
179,0.7425,3.6383
180,0.8407,4.2146
181,0.9012,3.4884
182,0.7817,3.6559
183,0.835,4.1262
184,0.727,3.9547
185,0.7778,3.8463
186,0.7967,4.1156
187,1.0654,4.107
188,0.9035,3.5748
189,1.0248,3.4756
190,0.9281,3.6095
191,1.0032,3.7942
192,0.8069,3.575
193,0.7458,4.0052
194,1.0328,3.9388
195,0.7939,3.883
196,0.6323,4.0359
197,0.6454,4.2504
198,0.5614,4.3523
199,0.5722,4.4797
200,0.5562,4.8384
201,0.5504,4.728
202,0.5632,4.4531
203,0.61,4.386
204,1.1484,4.7589
205,1.0693,3.3744
206,0.8961,3.6248
207,0.9149,4.3225
208,1.0231,4.1885
209,0.7449,3.4119
210,0.8976,3.7077
211,0.7855,3.5088
212,0.9931,3.5128
213,0.8392,3.5973
214,0.7346,3.6501
215,0.6881,3.9149
216,0.844,3.6793
217,0.8235,3.6586
218,0.71,3.8228
219,0.7894,3.527
220,0.7345,3.6995
221,0.7243,3.9173
222,0.7803,4.0458
223,0.9575,3.8801
224,0.9597,3.6975
225,0.7665,3.6758
226,0.8296,3.3584
227,0.8244,3.8163
228,0.9878,3.7037
229,0.9241,3.2498
230,0.7367,3.746
231,0.6417,3.9412
232,0.7328,4.3971
233,0.9455,3.8105
234,0.8407,3.9009
235,0.6349,4.2055
236,0.6647,4.2721
237,0.638,4.4325
238,0.5678,4.7891
239,0.6052,4.0706
240,0.5477,4.4636
241,0.5694,4.4782
242,0.5559,4.5541
243,0.6149,4.527
244,0.7406,4.2794
245,0.9607,3.5221
246,0.7226,3.6415
247,0.6854,3.9421
248,1.1885,3.979
249,0.7952,3.6046
250,0.7062,3.9836
251,0.7875,3.5754
252,0.7991,3.7518
253,0.6752,4.0209
254,0.6942,4.1493
255,0.7392,3.9581
256,0.9948,4.3145
257,0.918,3.7405
258,0.7266,4.1059
259,0.7467,4.2643
260,0.6629,4.4276
261,0.6354,4.0862
262,0.6881,3.9679
263,0.7108,3.6169
264,1.2565,3.9146
265,1.2224,3.3097
266,0.9763,3.8674
267,0.9081,3.9859
268,1.142,3.2378
269,0.9728,3.2472
270,0.8799,3.6354
271,0.8048,3.5976
272,0.713,3.5938
273,0.882,3.4704
274,0.7225,3.5366
275,0.8039,3.9257
276,0.7576,3.9474
277,0.741,4.1957
278,0.7484,3.8897
279,0.9661,4.0606
280,0.7948,3.7272
281,0.6824,3.6018
282,0.6824,3.7491
283,0.6326,4.3583
284,0.6274,4.4954
285,0.6249,4.6624
286,0.8145,4.4706
287,1.1142,4.403
288,0.7283,3.5739
289,0.6463,4.025
290,0.8444,3.4646
291,0.7094,3.8864
292,0.6863,4.1102
293,0.6292,4.1952
294,0.709,4.3974
295,0.6735,4.3049
296,0.7438,4.2684
297,0.942,3.897
298,0.7471,4.4074
299,0.7031,4.2773
300,0.8731,3.8038
301,0.5813,4.3796
302,0.5421,4.6656
303,0.523,4.5854
304,0.5004,5.0615
305,0.5272,4.9699
306,0.5147,5.1738
307,0.494,5.0326
308,0.5085,5.0257
309,0.4973,5.3722
310,0.4861,5.0793
311,0.4821,5.2609
312,0.6109,4.7016
313,1.031,4.5755
314,0.6018,4.4774
315,0.5577,4.85
316,0.5382,4.6849
317,0.5491,4.6418
318,0.5237,4.9053
319,0.4817,5.3326
320,0.5047,5.055
321,0.5432,4.8223
322,0.6655,4.755
323,0.5575,4.7024
324,0.5269,4.7094
325,0.5412,4.7571
326,0.4783,5.4138
327,0.4768,5.2124
328,0.4804,5.4712
329,0.4944,5.0096
330,0.4709,5.5518
331,0.4664,5.5432
332,0.4822,5.4431
333,0.4841,5.62
334,0.4541,5.7265
335,0.4713,5.5206
336,0.4755,6.2307
337,0.4776,5.6187
338,0.4808,5.8513
339,0.4622,6.0105
340,0.4678,5.6861
341,0.4604,6.022
342,0.4716,5.8965
343,0.4519,6.2163
344,0.4443,6.376
345,0.4415,6.031
346,0.517,5.3581
347,0.474,5.222
348,0.4853,6.2182
349,0.5123,4.7082
350,1.1932,5.0378
351,1.0116,3.786
352,0.886,4.0738
353,0.8455,3.7597
354,0.9556,3.8486
355,0.8156,4.0978
356,0.765,4.1046
357,0.8501,3.6569
358,0.7946,3.6791
359,0.8429,3.5041
360,0.8084,3.8364
361,0.9067,3.9025
362,0.8495,3.5561
363,0.6503,3.7889
364,0.772,4.3665
365,0.9642,3.9992
366,0.7579,3.7028
367,0.7136,3.4746
368,0.8792,3.4598
369,0.7957,3.6427
370,0.809,3.8925
371,0.8944,3.9391
372,0.8588,4.1886
373,0.9526,4.0794
374,0.7338,3.8001
375,0.9694,3.3121
376,0.893,3.2827
377,0.8346,3.7821
378,0.9186,3.7573
379,0.7032,3.7109
380,0.6568,3.8745
381,0.8122,3.9432
382,0.7723,3.6996
383,0.8919,4.1225
384,0.7466,3.5154
385,0.7614,3.637
386,0.6665,3.7252
387,1.1602,3.7394
388,1.0209,3.4882
389,0.963,3.7013
390,0.8051,3.5297
391,0.9346,3.78
392,1.004,3.3786
393,0.8067,3.6058
394,0.6884,3.8844
395,0.7413,3.907
396,0.7171,3.9512
397,0.6861,3.8436
398,0.8138,3.9205
399,0.6814,3.6537
400,0.5793,3.951
401,0.8319,3.9346
402,0.8529,3.6882
403,0.9043,3.8447
404,0.8161,3.6303
405,1.0994,3.7092
406,0.8432,3.098
407,0.7848,3.8575
408,0.7187,3.8201
409,0.7127,4.1048
410,0.6677,4.2081
411,0.5866,4.1511
412,0.544,4.4668
413,0.5501,4.1419
414,0.6103,4.0749
415,0.71,3.9965
416,0.623,4.331
417,0.9159,3.5286
418,0.8553,3.5317
419,0.7525,3.3484
420,0.8662,3.7074
421,0.9835,3.7695
422,0.8402,3.7044
423,0.7476,3.6126
424,0.5999,4.3159
425,0.8055,4.3048
426,0.9001,3.9809
427,0.6512,3.8265
428,0.6083,4.1232
429,0.737,4.2618
430,0.7326,3.8106
431,0.9134,3.3402
432,0.8049,3.6151
433,0.8584,3.7077
434,0.6665,3.7628
435,0.6798,4.0664
436,0.6028,4.2837
437,0.6229,4.339
438,1.1891,3.729
439,0.8455,3.4851
440,0.6853,3.6907
441,0.6414,3.683
442,0.5868,4.013
443,1.0571,3.8951
444,0.8392,3.2443
445,0.8768,3.5999
446,0.8405,3.4348
447,0.7965,4.2002
448,0.8384,3.7
449,0.9826,3.874
450,0.8673,3.4805
451,1.0433,3.2793
452,0.8572,3.5075
453,0.9358,3.3235
454,0.7791,4.129
455,0.6737,4.1947
456,0.6215,3.9522
457,0.6124,4.4113
458,0.7185,4.0296
459,0.6417,4.5415
460,0.7024,4.3456
461,0.7277,4.3394
462,0.6744,4.1979
463,0.877,3.9285
464,0.8927,4.1717
465,0.8557,3.7552
466,0.7155,4.0704
467,0.6253,4.4489
468,0.7,4.3148
469,0.8145,3.8589
470,0.6293,4.1514
471,0.6828,4.3905
472,0.6134,4.1339
473,0.824,3.8471
474,0.6797,3.8515
475,0.7596,3.7328
476,0.7067,4.26
477,0.576,4.3222
478,0.697,4.0307
479,0.6851,4.1153
480,0.9545,3.8005
481,0.6891,3.7188
482,0.6443,3.7811
483,0.6419,4.1748
