epoch,d_loss,g_loss
1,2.6442,1.494
2,2.5163,1.817
3,2.5515,1.6807
4,2.4973,1.432
5,2.2072,1.1496
6,2.1574,1.035
7,2.1506,1.0318
8,2.1396,1.0143
9,2.119,1.043
10,2.124,1.0645
11,2.0868,1.0195
12,2.1042,0.9819
13,2.1639,1.0596
14,2.0908,0.9686
15,2.1192,0.9731
16,2.125,1.0114
17,2.0918,0.9793
18,2.0879,0.9801
19,2.1065,1.0191
20,2.0779,0.9861
21,2.118,1.0291
22,2.059,0.9954
23,2.0724,0.9853
24,2.0917,1.0245
25,2.048,1.02
26,2.0728,1.0152
27,2.0582,1.0289
28,2.0452,1.0292
29,2.0893,1.0246
30,2.0837,1.0285
31,2.0954,1.0581
32,2.0745,1.0421
33,2.083,1.0137
34,2.0664,1.0466
35,2.0748,1.031
36,2.1308,1.0369
37,2.0525,1.0086
38,2.0457,0.9763
39,2.0623,1.0421
40,2.0608,1.0119
41,2.0831,1.0397
42,1.9862,1.0399
43,2.0473,1.0267
44,2.0324,1.0233
45,2.0297,1.0101
46,2.0389,1.0306
47,2.0294,0.999
48,2.0452,1.0074
49,2.0231,1.0183
50,2.0677,1.0104
51,2.0011,1.0124
52,2.0045,1.009
53,1.9709,0.9771
54,1.9808,1.0126
55,2.0101,0.9946
56,1.9772,0.9772
57,2.007,0.9841
58,1.9767,0.9759
59,2.0399,0.9645
60,1.9789,1.0653
61,2.0014,1.0028
62,1.957,1.0212
63,2.0037,1.0081
64,1.9809,0.983
65,1.9442,0.966
66,1.9968,0.9874
67,1.9687,0.9518
68,1.9835,0.9464
69,2.0069,0.984
70,1.9775,0.9634
71,1.9487,0.9743
72,1.9535,0.9599
73,1.9754,1.0094
74,1.9507,0.9757
75,1.958,0.9773
76,1.9389,1.0308
77,1.9562,0.9557
78,1.949,0.9945
79,1.9212,0.9675
80,2.0014,0.9701
81,1.9409,0.9761
82,1.9435,0.9583
83,1.9343,0.9699
84,1.9169,0.9558
85,1.9138,0.9348
86,1.9866,1.0008
87,1.9576,1.0006
88,1.9448,0.9358
89,1.9475,0.9634
90,1.9669,0.9704
91,1.93,0.9673
92,1.9286,0.9659
93,1.9377,0.9598
94,1.9148,1.0134
95,1.9142,0.9322
96,1.9086,0.9462
97,1.9054,0.9624
98,1.8927,0.9337
99,1.8857,0.9855
100,1.9065,0.9446
101,1.9009,0.969
102,1.8954,0.9435
103,1.9258,0.9669
104,1.8949,0.9506
105,1.9154,0.9229
106,1.8814,0.9497
107,1.8899,0.9492
108,1.89,0.9305
109,1.9165,0.9113
110,1.8602,0.9424
111,1.9225,0.9641
112,1.931,0.9335
113,1.9006,0.9525
114,1.8889,0.9485
115,1.8823,0.9571
116,1.8575,0.9788
117,1.9097,0.9302
118,1.8953,0.9488
119,1.8808,0.9308
120,1.8922,0.9619
121,1.8531,0.9225
122,1.8976,0.9282
123,1.8875,0.9162
124,1.8783,0.938
125,1.8877,0.93
126,1.8882,0.9222
127,1.9066,0.9644
128,1.8531,0.9336
129,1.8734,0.9349
130,1.8832,0.9316
131,1.8789,0.9366
132,1.8884,0.9192
133,1.8754,0.9423
134,1.8554,0.9336
135,1.9053,0.9285
136,1.8892,0.9514
137,1.838,0.9397
138,1.8548,0.9228
139,1.8576,0.9317
140,1.8707,0.9274
