epoch,d_loss,g_loss
1,1.2526,1.0398
2,1.0402,0.82
3,0.9345,0.7374
4,0.5438,1.1828
5,0.3969,1.3894
6,0.7259,1.3542
7,1.6935,0.6941
8,1.379,0.7905
9,1.8513,0.2775
10,1.6013,0.2874
11,1.541,0.419
12,1.4347,0.4441
13,1.4367,0.5806
14,1.7501,0.3128
15,1.8007,0.1977
16,1.6656,0.2751
17,1.7048,0.2699
18,1.6218,0.2548
19,1.6055,0.3977
20,1.8285,0.1933
21,1.742,0.1997
22,1.6978,0.1497
23,1.6885,0.1739
24,1.671,0.1955
25,1.6545,0.2203
26,1.6596,0.344
27,1.6962,0.3622
28,1.6288,0.4688
29,1.6243,0.4242
30,1.5671,0.4571
31,1.5281,0.4128
32,1.7008,0.6718
33,1.7244,0.3833
34,1.6554,0.1383
35,1.7484,0.1155
36,1.6679,0.2013
37,1.6512,0.23
38,1.5943,0.3177
39,1.6129,0.3542
40,1.687,0.3332
41,1.6484,0.3481
42,1.5536,0.378
43,1.6184,0.3101
44,1.5345,0.3457
45,1.5869,0.3832
46,1.5813,0.3538
47,1.5651,0.3343
48,1.6527,0.3821
49,1.6174,0.3662
50,1.6101,0.414
51,1.6978,0.5693
52,1.7372,0.2185
53,1.7031,0.1931
54,1.7107,0.1439
55,1.6834,0.2827
56,1.678,0.2595
57,1.7003,0.3078
58,1.6487,0.2908
59,1.6085,0.3189
60,1.6463,0.2899
61,1.6491,0.3029
62,1.5432,0.3175
63,1.7719,0.4361
64,1.6807,0.2066
65,1.6629,0.338
66,1.637,0.3675
67,1.6003,0.3744
68,1.5462,0.4976
69,1.6005,0.288
70,1.5296,0.4039
71,1.6453,0.3799
72,1.5264,0.2902
73,1.5398,0.4796
74,1.5766,0.2965
75,1.612,0.4934
76,1.6814,0.2024
77,1.6419,0.2704
78,1.55,0.4393
79,1.8791,0.4951
80,1.6588,0.2481
81,1.6525,0.1445
82,1.6856,0.1721
83,1.6044,0.3055
84,1.6587,0.2248
85,1.6453,0.3108
86,1.6223,0.2681
87,1.632,0.3064
88,1.6715,0.2202
89,1.5646,0.2789
90,1.8631,0.2661
91,1.6529,0.1432
92,1.6686,0.3952
93,1.5565,0.2392
94,1.5305,0.4265
95,1.6944,0.3695
96,1.6921,0.3271
97,1.6914,0.2113
98,1.6487,0.253
99,1.5852,0.3674
100,1.6352,0.3611
101,1.5432,0.4443
102,1.5693,0.2927
103,1.6045,0.4981
104,1.6634,0.1902
105,1.6011,0.2999
106,1.7098,0.2374
107,1.628,0.3504
108,1.6898,0.4292
109,1.7095,0.1396
110,1.6706,0.1766
111,1.5889,0.293
112,1.6041,0.4139
113,1.5858,0.3621
114,1.6718,0.2979
115,1.6488,0.25
116,1.6163,0.2579
117,1.7695,0.3037
118,1.6746,0.333
119,1.5449,0.2395
